Time_s,Thrust_lbf
0,79.54
0.01,77.296
0.02,75.115
0.03,72.995
0.04,70.936
0.05,68.934
0.06,66.989
0.07,65.099
0.08,63.262
0.09,61.477
0.1,59.742
0.11,58.057
0.12,56.419
0.13,54.827
0.14,53.28
0.15,51.776
0.16,50.315
0.17,48.896
0.18,47.516
0.19,46.175
0.2,44.873
0.21,43.606
0.22,42.376
0.23,41.18
0.24,40.018
0.25,38.889
0.26,37.792
0.27,36.726
0.28,35.689
0.29,34.682
0.3,33.704
0.31,32.753
0.32,31.829
0.33,30.931
0.34,30.058
0.35,29.21
0.36,28.386
0.37,27.585
0.38,26.806
0.39,26.05
0.4,25.315
0.41,24.601
0.42,23.907
0.43,23.232
0.44,22.577
0.45,21.94
0.46,21.32
0.47,20.719
0.48,20.134
0.49,19.566
0.5,19.014
0.51,18.478
0.52,17.956
0.53,17.45
0.54,16.957
0.55,16.479
0.56,16.014
0.57,15.562
0.58,15.123
0.59,14.696
0.6,14.282
0.61,13.879
0.62,13.487
0.63,13.106
0.64,12.737
0.65,12.377
0.66,12.028
0.67,11.689
0.68,11.359
0.69,11.038
0.7,10.727
0.71,10.424
0.72,10.13
0.73,9.8442
0.74,9.5665
0.75,9.2966
0.76,9.0342
0.77,8.7793
0.78,8.5316
0.79,8.2909
0.8,8.057
0.81,7.8296
0.82,7.6087
0.83,7.394
0.84,7.1854
0.85,6.9826
0.86,6.7856
0.87,6.5942
0.88,6.4081
0.89,6.2273
0.9,6.0516
0.91,5.8808
0.92,5.7149
0.93,5.5537
0.94,5.397
0.95,5.2447
0.96,5.0967
0.97,4.9529
0.98,4.8131
0.99,4.6773
1,4.5454
1.01,4.4171
1.02,4.2925
1.03,4.1714
1.04,4.0537
1.05,3.9393
1.06,3.8281
1.07,3.7201
1.08,3.6151
1.09,3.5131
1.1,3.414
1.11,3.3177
1.12,3.2241
1.13,3.1331
1.14,3.0447
1.15,2.9588
1.16,2.8753
1.17,2.7942
1.18,2.7153
1.19,2.6387
1.2,2.5643
1.21,2.4919
1.22,2.4216
1.23,2.3533
1.24,2.2869
1.25,2.2224
1.26,2.1596
1.27,2.0987
1.28,2.0395
1.29,1.982
1.3,1.926
1.31,1.8717
1.32,1.8189
1.33,1.7676
1.34,1.7177
1.35,1.6692
1.36,1.6221
1.37,1.5763
1.38,1.5319
1.39,1.4886
1.4,1.4466
1.41,1.4058
1.42,1.3662
1.43,1.3276
1.44,1.2901
1.45,1.2537
1.46,1.2184
1.47,1.184
1.48,1.1506
1.49,1.1181
1.5,1.0866
1.51,1.0559
1.52,1.0261
1.53,0.99717
1.54,0.96903
1.55,0.94169
1.56,0.91512
1.57,0.42635
1.58,0.40479
1.59,0.38344
1.6,0.36232
1.61,0.34145
1.62,0.32086
1.63,0.30058
1.64,0.28063
1.65,0.26105
1.66,0.24187
1.67,0.22312
1.68,0.20484
1.69,0.18707
1.7,0.16983
1.71,0.15317
1.72,0.13713
1.73,0.12176
1.74,0.10708
1.75,0.093148
1.76,0.080002
1.77,0.067685
1.78,0.056238
1.79,0.045704
1.8,0.036123
1.81,0.027538
1.82,0.019989
1.83,0.013518
1.84,0.0081691
1.85,0.0039936
1.86,0.0010652
